timestamp,level,message
2023-10-01 10:01:00,ERROR,Failed login attempt
2023-10-01 10:06:00,ERROR,Failed login attempt
2023-10-01 10:07:00,WARNING,Potential DDoS attack detected
2023-10-01 10:11:00,ERROR,Failed login attempt
2023-10-01 10:14:00,ERROR,Brute force attack detected
2023-10-01 10:16:00,ERROR,Failed login attempt
2023-10-01 10:21:00,ERROR,Failed login attempt
2023-10-01 10:22:00,WARNING,Potential DDoS attack detected
2023-10-01 10:26:00,ERROR,Failed login attempt
2023-10-01 10:29:00,ERROR,Brute force attack detected
2023-10-01 10:31:00,ERROR,Failed login attempt
2023-10-01 10:36:00,ERROR,Failed login attempt
2023-10-01 10:37:00,WARNING,Potential DDoS attack detected
2023-10-01 10:41:00,ERROR,Failed login attempt
2023-10-01 10:44:00,ERROR,Brute force attack detected
2023-10-01 10:46:00,ERROR,Failed login attempt
2023-10-01 10:51:00,ERROR,Failed login attempt
2023-10-01 10:52:00,WARNING,Potential DDoS attack detected
2023-10-01 10:56:00,ERROR,Failed login attempt
2023-10-01 10:59:00,ERROR,Brute force attack detected
2023-10-01 11:01:00,ERROR,Failed login attempt
2023-10-01 11:06:00,ERROR,Failed login attempt
2023-10-01 11:07:00,WARNING,Potential DDoS attack detected
2023-10-01 11:11:00,ERROR,Failed login attempt
2023-10-01 11:14:00,ERROR,Brute force attack detected
2023-10-01 11:16:00,ERROR,Failed login attempt
2023-10-01 11:21:00,ERROR,Failed login attempt
2023-10-01 11:22:00,WARNING,Potential DDoS attack detected
2023-10-01 11:26:00,ERROR,Failed login attempt
2023-10-01 11:29:00,ERROR,Brute force attack detected
2023-10-01 11:31:00,ERROR,Failed login attempt
2023-10-01 11:36:00,ERROR,Failed login attempt
2023-10-01 11:37:00,WARNING,Potential DDoS attack detected
2023-10-01 11:41:00,ERROR,Failed login attempt
2023-10-01 11:44:00,ERROR,Brute force attack detected
2023-10-01 11:46:00,ERROR,Failed login attempt
2023-10-01 11:51:00,ERROR,Failed login attempt
2023-10-01 11:52:00,WARNING,Potential DDoS attack detected
2023-10-01 11:56:00,ERROR,Failed login attempt
2023-10-01 11:59:00,ERROR,Brute force attack detected
